annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
12,stan507,1,100,100,132.5,46.0,32.5,32.5,,,
10,Ajax,2,100,100,127.2,54.0,27.2,27.2,,,
8,Gorg,3,100,100,118.8,50.0,18.8,18.8,,,
6,Arsii,4,100,100,115.3,62.0,15.3,15.3,,,
5,BeTeL,5,100,100,105.7,65.0,5.7,5.7,,,
4,Cap4ik,6,100,100,102.4,63.0,2.4,2.4,,,
3,Deagle,7,100,100,100.5,44.0,0.5,0.5,,,
2,Dnepr,8,100,67,91.5,52.0,-8.5,-8.5,,,
1,Ars,9,100,99,77.3,66.0,-22.7,-22.7,,,
